X [ m ],Velocity [ m s^-1 ]
-1.11E+01,6.50E+01
-1.14E+01,6.50E+01
-1.17E+01,6.50E+01
-1.20E+01,6.50E+01
-1.20E+01,6.50E+01
-1.17E+01,6.50E+01
-1.14E+01,6.50E+01
-1.11E+01,6.50E+01
-1.08E+01,6.50E+01
-1.05E+01,6.50E+01
-1.02E+01,6.50E+01
-9.90E+00,6.50E+01
-9.60E+00,6.50E+01
-9.30E+00,6.50E+01
-9.00E+00,6.50E+01
-8.70E+00,6.50E+01
-8.40E+00,6.50E+01
-8.10E+00,6.50E+01
-7.80E+00,6.50E+01
-7.50E+00,6.50E+01
-7.20E+00,6.50E+01
-6.90E+00,6.50E+01
-6.60E+00,6.50E+01
-6.30E+00,6.50E+01
-6.00E+00,6.50E+01
-5.70E+00,6.50E+01
-5.40E+00,6.50E+01
-5.10E+00,6.50E+01
-4.80E+00,6.50E+01
-4.50E+00,6.50E+01
-4.20E+00,6.50E+01
-3.90E+00,6.50E+01
-3.60E+00,6.50E+01
-3.30E+00,6.50E+01
-3.00E+00,6.50E+01
-2.70E+00,6.50E+01
-2.40E+00,6.50E+01
-2.10E+00,6.50E+01
-1.80E+00,6.50E+01
-1.50E+00,6.50E+01
-1.20E+00,6.50E+01
-9.00E-01,6.50E+01
-6.00E-01,6.50E+01
-3.00E-01,6.50E+01
2.13E-13,6.50E+01
3.00E-01,6.50E+01
6.00E-01,6.50E+01
9.00E-01,6.50E+01
1.20E+00,6.50E+01
1.50E+00,6.50E+01
1.80E+00,6.50E+01
2.10E+00,6.50E+01
2.40E+00,6.50E+01
2.70E+00,6.50E+01
3.00E+00,6.50E+01
3.30E+00,6.50E+01
3.60E+00,6.50E+01
3.90E+00,6.50E+01
4.20E+00,6.50E+01
4.50E+00,6.50E+01
4.80E+00,6.50E+01
5.10E+00,6.50E+01
5.40E+00,6.50E+01
5.70E+00,6.50E+01
6.00E+00,6.50E+01
6.30E+00,6.50E+01
6.60E+00,6.50E+01
6.90E+00,6.50E+01
7.20E+00,6.50E+01
7.50E+00,6.50E+01
7.80E+00,6.50E+01
8.10E+00,6.50E+01
8.40E+00,6.50E+01
8.70E+00,6.50E+01
9.00E+00,6.50E+01
9.30E+00,6.50E+01
9.60E+00,6.50E+01
9.90E+00,6.50E+01
1.02E+01,6.50E+01
1.05E+01,6.50E+01
1.08E+01,6.50E+01
1.11E+01,6.50E+01
1.14E+01,6.50E+01
1.17E+01,6.50E+01
1.20E+01,6.50E+01
1.20E+01,6.50E+01
1.17E+01,6.50E+01
1.14E+01,6.50E+01
1.11E+01,6.50E+01
1.08E+01,6.50E+01
1.05E+01,6.50E+01
1.02E+01,6.50E+01
9.90E+00,6.50E+01
9.60E+00,6.50E+01
9.30E+00,6.50E+01
9.00E+00,6.50E+01
8.70E+00,6.50E+01
8.40E+00,6.50E+01
8.10E+00,6.50E+01
7.80E+00,6.50E+01
7.50E+00,6.50E+01
7.20E+00,6.50E+01
6.90E+00,6.50E+01
6.60E+00,6.50E+01
6.30E+00,6.50E+01
6.00E+00,6.50E+01
5.70E+00,6.50E+01
5.40E+00,6.50E+01
5.10E+00,6.50E+01
4.80E+00,6.50E+01
4.50E+00,6.50E+01
4.20E+00,6.50E+01
3.90E+00,6.50E+01
3.60E+00,6.50E+01
3.30E+00,6.50E+01
3.00E+00,6.50E+01
2.70E+00,6.50E+01
2.40E+00,6.50E+01
2.10E+00,6.50E+01
1.80E+00,6.50E+01
1.50E+00,6.50E+01
1.20E+00,6.50E+01
9.00E-01,6.50E+01
6.00E-01,6.50E+01
3.00E-01,6.50E+01
2.13E-13,6.50E+01
-3.00E-01,6.50E+01
-6.00E-01,6.50E+01
-9.00E-01,6.50E+01
-1.20E+00,6.50E+01
-1.50E+00,6.50E+01
-1.80E+00,6.50E+01
-2.10E+00,6.50E+01
-2.40E+00,6.50E+01
-2.70E+00,6.50E+01
-3.00E+00,6.50E+01
-3.30E+00,6.50E+01
-3.60E+00,6.50E+01
-3.90E+00,6.50E+01
-4.20E+00,6.50E+01
-4.50E+00,6.50E+01
-4.80E+00,6.50E+01
-5.10E+00,6.50E+01
-5.40E+00,6.50E+01
-5.70E+00,6.50E+01
-6.00E+00,6.50E+01
-6.30E+00,6.50E+01
-6.60E+00,6.50E+01
-6.90E+00,6.50E+01
-7.20E+00,6.50E+01
-7.50E+00,6.50E+01
-7.80E+00,6.50E+01
-8.10E+00,6.50E+01
-8.40E+00,6.50E+01
-8.70E+00,6.50E+01
-9.00E+00,6.50E+01
-9.30E+00,6.50E+01
-9.60E+00,6.50E+01
-9.90E+00,6.50E+01
-1.02E+01,6.50E+01
-1.05E+01,6.50E+01
-1.08E+01,6.50E+01
1.11E+01,6.50E+01
1.14E+01,6.50E+01
1.17E+01,6.50E+01
1.20E+01,6.50E+01
1.20E+01,6.50E+01
1.17E+01,6.50E+01
1.14E+01,6.50E+01
1.11E+01,6.50E+01
1.08E+01,6.50E+01
1.05E+01,6.50E+01
1.02E+01,6.50E+01
9.90E+00,6.50E+01
9.60E+00,6.50E+01
9.30E+00,6.50E+01
9.00E+00,6.50E+01
8.70E+00,6.50E+01
8.40E+00,6.50E+01
8.10E+00,6.50E+01
7.80E+00,6.50E+01
7.50E+00,6.50E+01
7.20E+00,6.50E+01
6.90E+00,6.50E+01
6.60E+00,6.50E+01
6.30E+00,6.50E+01
6.00E+00,6.50E+01
5.70E+00,6.50E+01
5.40E+00,6.50E+01
5.10E+00,6.50E+01
4.80E+00,6.50E+01
4.50E+00,6.50E+01
4.20E+00,6.50E+01
3.90E+00,6.50E+01
3.60E+00,6.50E+01
3.30E+00,6.50E+01
3.00E+00,6.50E+01
2.70E+00,6.50E+01
2.40E+00,6.50E+01
2.10E+00,6.50E+01
1.80E+00,6.50E+01
1.50E+00,6.50E+01
1.20E+00,6.50E+01
9.00E-01,6.50E+01
6.00E-01,6.50E+01
3.00E-01,6.50E+01
-1.88E-13,6.50E+01
-3.00E-01,6.50E+01
-6.00E-01,6.50E+01
-9.00E-01,6.50E+01
-1.20E+00,6.50E+01
-1.50E+00,6.50E+01
-1.80E+00,6.50E+01
-2.10E+00,6.50E+01
-2.40E+00,6.50E+01
-2.70E+00,6.50E+01
-3.00E+00,6.50E+01
-3.30E+00,6.50E+01
-3.60E+00,6.50E+01
-3.90E+00,6.50E+01
-4.20E+00,6.50E+01
-4.50E+00,6.50E+01
-4.80E+00,6.50E+01
-5.10E+00,6.50E+01
-5.40E+00,6.50E+01
-5.70E+00,6.50E+01
-6.00E+00,6.50E+01
-6.30E+00,6.50E+01
-6.60E+00,6.50E+01
-6.90E+00,6.50E+01
-7.20E+00,6.50E+01
-7.50E+00,6.50E+01
-7.80E+00,6.50E+01
-8.10E+00,6.50E+01
-8.40E+00,6.50E+01
-8.70E+00,6.50E+01
-9.00E+00,6.50E+01
-9.30E+00,6.50E+01
-9.60E+00,6.50E+01
-9.90E+00,6.50E+01
-1.02E+01,6.50E+01
-1.05E+01,6.50E+01
-1.08E+01,6.50E+01
-1.11E+01,6.50E+01
-1.14E+01,6.50E+01
-1.17E+01,6.50E+01
-1.20E+01,6.50E+01
-1.20E+01,6.50E+01
-1.17E+01,6.50E+01
-1.14E+01,6.50E+01
-1.11E+01,6.50E+01
-1.08E+01,6.50E+01
-1.05E+01,6.50E+01
-1.02E+01,6.50E+01
-9.90E+00,6.50E+01
-9.60E+00,6.50E+01
-9.30E+00,6.50E+01
-9.00E+00,6.50E+01
-8.70E+00,6.50E+01
-8.40E+00,6.50E+01
-8.10E+00,6.50E+01
-7.80E+00,6.50E+01
-7.50E+00,6.50E+01
-7.20E+00,6.50E+01
-6.90E+00,6.50E+01
-6.60E+00,6.50E+01
-6.30E+00,6.50E+01
-6.00E+00,6.50E+01
-5.70E+00,6.50E+01
-5.40E+00,6.50E+01
-5.10E+00,6.50E+01
-4.80E+00,6.50E+01
-4.50E+00,6.50E+01
-4.20E+00,6.50E+01
-3.90E+00,6.50E+01
-3.60E+00,6.50E+01
-3.30E+00,6.50E+01
-3.00E+00,6.50E+01
-2.70E+00,6.50E+01
-2.40E+00,6.50E+01
-2.10E+00,6.50E+01
-1.80E+00,6.50E+01
-1.50E+00,6.50E+01
-1.20E+00,6.50E+01
-9.00E-01,6.50E+01
-6.00E-01,6.50E+01
-3.00E-01,6.50E+01
-1.88E-13,6.50E+01
3.00E-01,6.50E+01
6.00E-01,6.50E+01
9.00E-01,6.50E+01
1.20E+00,6.50E+01
1.50E+00,6.50E+01
1.80E+00,6.50E+01
2.10E+00,6.50E+01
2.40E+00,6.50E+01
2.70E+00,6.50E+01
3.00E+00,6.50E+01
3.30E+00,6.50E+01
3.60E+00,6.50E+01
3.90E+00,6.50E+01
4.20E+00,6.50E+01
4.50E+00,6.50E+01
4.80E+00,6.50E+01
5.10E+00,6.50E+01
5.40E+00,6.50E+01
5.70E+00,6.50E+01
6.00E+00,6.50E+01
6.30E+00,6.50E+01
6.60E+00,6.50E+01
6.90E+00,6.50E+01
7.20E+00,6.50E+01
7.50E+00,6.50E+01
7.80E+00,6.50E+01
8.10E+00,6.50E+01
8.40E+00,6.50E+01
8.70E+00,6.50E+01
9.00E+00,6.50E+01
9.30E+00,6.50E+01
9.60E+00,6.50E+01
9.90E+00,6.50E+01
1.02E+01,6.50E+01
1.05E+01,6.50E+01
1.08E+01,6.50E+01
